ga	versao	origem	scope
br.com.sawcunhaos.flow:flow-organization-shared	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-organization-infrastructure	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-organization-domain	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-organization-usecase	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-organization-api	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-organization-resources	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-security-grpc-proto	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-security-starter	1.0.0-SNAPSHOT	propria	compile
