ga	versao	origem	scope
br.com.sawcunhaos.flow:flow-security-grpc-proto	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.flow:flow-security-starter	1.0.0-SNAPSHOT	propria	compile
