ga	versao	origem	scope
br.com.sawcunhaos.geotemporal:flow-geotemporal-resource	1.0.0-SNAPSHOT	propria	compile
br.com.sawcunhaos.geotemporal:flow-geotemporal-infrastructure	1.0.0-SNAPSHOT	propria	compile
